city,time,title,km,排量,变速箱,origin_price,price,rule,过户次数,kg,气缸数,最大马力,oil_num
合肥,2018,宝马5系,8.18,2,自动,53.94,37.98,国5,1,1770,4缸,252,95
上海,2016,斯柯达,6.74,1.6,自动,11.5,5.68,国5,0,1155,4缸,110,92
嘉兴,2013,吉利,6.93,1.8,自动,11.38,3.5,国4,0,1310,4缸,139,92
郑州,2018,大众,4.42,1.8,自动,25.5,17.58,国5,1,1540,4缸,180,95
唐山,2019,雪佛兰,3.97,1.5,自动,9.65,6.05,国5,0,1225,4缸,113,92
苏州,2013,奥迪A1,7.25,1.4,自动,25.49,8.7,国4,1,1235,4缸,122,95
佛山,2018,日产,4.24,1.6,自动,11.92,6.98,国5,0,1180,4缸,124,92
济宁,2015,宝马5系,9.66,2,自动,49.61,26.98,国5,1,1730,4缸,184,95
金华,2018,宝马3系,4.37,2,自动,39.82,26.8,国5,2,1550,4缸,184,95
临汾,2013,欧宝,3.13,1.4,自动,21.17,6.98,国4,1,1360,4缸,120,92
福州,2009,本田,17.9,2.4,自动,27.87,8.5,国4,1,1705,4缸,181,92
石家庄,2018,雪佛兰,2.35,1.3,自动,7.48,4.9,国5,0,1060,4缸,103,92
郑州,2016,宝马1系,4.97,1.5,自动,27.79,13.99,国5,0,1430,3缸,136,95
福州,2012,铃木,6.81,1.3,手动,6.6,2.68,国4,1,1040,4缸,91,92
昆明,2019,别克GL6,2.1,1.3,自动,15.51,10.3,国5,1,1465,3缸,163,92
北京,2014,奥迪A8L,14.8,3,自动,110.94,45.08,国4,0,2000,6缸,290,95
保定,2016,铃木,2.6,1.4,手动,4.33,2.9,国5,0,900,4缸,97,92
常州,2014,本田,3.86,1.5,自动,8.88,6.38,国5,2,1078,4缸,131,92
长沙,2011,宝马5系,14.97,3,自动,68.12,18.28,国4,1,1550,6缸,306,95
昆明,2019,宝马X1,1.91,2,自动,33.63,24.5,国6,0,1619,4缸,192,95
